,category,deadline,funded,goal,phase,progress,project,sponsor,sponsor_page,status,supports
902,家电,2016-07-06 00:00:00,213891,100000,项目成功,214,樱花智能 音乐马桶盖&花洒,樱花瓷业,https://z.jd.com/funderCenter.action?flag=2&id=55727,已筹到,587
903,科技,2016-07-14 00:00:00,244134,100000,项目成功,244,颠覆传统的智能胎压监测器,布古科技BugooG1,https://z.jd.com/funderCenter.action?flag=2&id=59266,已筹到,968
904,科技,2016-07-13 00:00:00,579581,500000,项目成功,116,DGQ车载除味器,DGQ智能科技,https://z.jd.com/funderCenter.action?flag=2&id=59244,已筹到,1649
905,科技,2016-07-23 00:00:00,949804,200000,项目成功,475,净净智能手机消毒神器,SORBO盛博科技,https://z.jd.com/funderCenter.action?flag=2&id=57778,已筹到,29949
906,科技,2015-03-07 00:00:00,1218118,10000,项目成功,12181,CloudCUP智能水杯,天美意科技,https://z.jd.com/funderCenter.action?flag=2&id=4963,已筹到,8140
907,科技,2015-03-01 00:00:00,23364,10000,项目成功,234,快设NFC智能手机按键,盐湖数字,https://z.jd.com/funderCenter.action?flag=2&id=2795,已筹到,1082
908,科技,2015-02-21 00:00:00,122581,10000,项目成功,1226,全爱智能网络血压计,拉风的卓尔不群,https://z.jd.com/funderCenter.action?flag=2&id=3500,已筹到,422
909,科技,2015-02-19 00:00:00,34692,20000,项目成功,173,米粒露营者蓝牙音响,太火红鸟科技,https://z.jd.com/funderCenter.action?flag=2&id=4970,已筹到,898
910,科技,2015-02-26 00:00:00,39350,20000,项目成功,197,Pickit手机照片打印机,拍立得技术服务,https://z.jd.com/funderCenter.action?flag=2&id=5110,已筹到,2039
911,科技,2015-03-05 00:00:00,17142,10000,项目成功,171,呼吸测定器Ho-honey,爱吹wecheck,https://z.jd.com/funderCenter.action?flag=2&id=4673,已筹到,1253
912,科技,2015-03-23 00:00:00,218267,10000,项目成功,2183,轻拍相机Q1：轻拍，趣分享,轻拍相机,https://z.jd.com/funderCenter.action?flag=2&id=5104,已筹到,2550
913,科技,2015-03-12 00:00:00,11316,10000,项目成功,113,在那儿儿童定位魔法圈,广东南方数码,https://z.jd.com/funderCenter.action?flag=2&id=4670,已筹到,564
914,科技,2015-03-07 00:00:00,284722,20000,项目成功,1424,BOSSNEL头戴式影院,博思尼科技,https://z.jd.com/funderCenter.action?flag=2&id=4770,已筹到,3010
